rating,title,text,date
5,Easy investing,Very simple app to start investing in mutual funds and stocks,2026-01-12
4,Good UI,The interface is clean and beginner friendly,2026-01-18
2,KYC issue,KYC verification keeps failing even after uploading documents,2026-02-03
3,Slow customer support,Support takes too long to respond to queries,2026-02-10
2,App crashes,App crashes sometimes during market hours,2026-02-21
5,Great experience,Investing has become very easy with this app,2026-02-25
1,Withdrawal delay,Withdrawal took several days to reflect in my bank account,2026-03-01
4,Good mutual fund platform,Easy to track SIPs and mutual fund investments,2026-03-05
3,Login issues,Sometimes login OTP takes too long,2026-03-07
4,Good beginner app,Very helpful for beginners starting investments,2026-03-10
